Name,Postal Code,FIPS,Region
Alabama,AL,1,PADD.3
Alaska,AK,2,PADD.5
Arizona,AZ,4,PADD.5
Arkansas,AR,5,PADD.3
California,CA,6,PADD.5
Colorado,CO,8,PADD.4
Connecticut,CT,9,PADD.1
Delaware,DE,10,PADD.1
District.of.Columbia,DC,11,PADD.1
Florida,FL,12,PADD.1
Georgia,GA,13,PADD.1
Hawaii,HI,15,PADD.5
Idaho,ID,16,PADD.4
Illinois,IL,17,PADD.2
Indiana,IN,18,PADD.2
Iowa,IA,19,PADD.2
Kansas,KS,20,PADD.2
Kentucky,KY,21,PADD.2
Louisiana,LA,22,PADD.3
Maine,ME,23,PADD.1
Maryland,MD,24,PADD.1
Massachusetts,MA,25,PADD.1
Michigan,MI,26,PADD.2
Minnesota,MN,27,PADD.2
Mississippi,MS,28,PADD.3
Missouri,MO,29,PADD.2
Montana,MT,30,PADD.4
Nebraska,NE,31,PADD.2
Nevada,NV,32,PADD.5
New.Hampshire,NH,33,PADD.1
New.Jersey,NJ,34,PADD.1
New.Mexico,NM,35,PADD.3
New.York,NY,36,PADD.1
North.Carolina,NC,37,PADD.1
North.Dakota,ND,38,PADD.2
Ohio,OH,39,PADD.2
Oklahoma,OK,40,PADD.2
Oregon,OR,41,PADD.5
Pennsylvania,PA,42,PADD.1
Rhode.Island,RI,44,PADD.1
South.Carolina,SC,45,PADD.1
South.Dakota,SD,46,PADD.2
Tennessee,TN,47,PADD.2
Texas,TX,48,PADD.3
Utah,UT,49,PADD.4
West.Virginia,WV,54,PADD.1
Vermont,VT,50,PADD.1
Virginia,VA,51,PADD.1
Washington,WA,53,PADD.5
Wisconsin,WI,55,PADD.2
Wyoming,WY,56,PADD.4
U.S.,US,0,U.S.
United.States,US,0,U.S.